site_name_norm,imps,clicks,actions,spend,ctr,atr,cpc,cpa,vendor_impression_count,vendor_viewability_score
wyopreps.com,8,0,0,0.013,0.0000000000,0.0000000000,0,0,8,50.0
ads.newjams.net,8,0,0,0.012,0.0000000000,0.0000000000,0,0,80,15.0
entertainment.oneindia.in,8,0,0,0.012,0.0000000000,0.0000000000,0,0,4,50.0
epenguin.zzn.com,8,0,0,0.011,0.0000000000,0.0000000000,0,0,8,25.0
mthsense.com,8,0,0,0.011,0.0000000000,0.0000000000,0,0,6,16.67
alabama.arrests.org,8,0,0,0.011,0.0000000000,0.0000000000,0,0,8,100.0
allwrestling.com,8,0,0,0.011,0.0000000000,0.0000000000,0,0,14,7.14
homeunix.com,8,0,0,0.011,0.0000000000,0.0000000000,0,0,7,57.14
colleges.usnews.rankingsandreviews.com,8,0,0,0.011,0.0000000000,0.0000000000,0,0,11,63.64
the-fame.org,8,0,0,0.010,0.0000000000,0.0000000000,0,0,8,37.5
dailypeptalkfromabestfriend.com,8,0,0,0.010,0.0000000000,0.0000000000,0,0,7,28.57
hairlista.com,8,0,0,0.010,0.0000000000,0.0000000000,0,0,8,62.5
watchallseries.com,8,0,0,0.008,0.0000000000,0.0000000000,0,0,8,50.0
albumfiend.com,8,0,0,0.008,0.0000000000,0.0000000000,0,0,7,71.43
144196.appnexus,8,0,0,0.007,0.0000000000,0.0000000000,0,0,5,80.0
newstalk1280.com,8,0,0,0.007,0.0000000000,0.0000000000,0,0,4,50.0
conduit.com,8,0,0,0.006,0.0000000000,0.0000000000,0,0,16,56.25
kdvr.com,79,0,3,0.274,0.0000000000,0.0379746835,0,0.091,70,4.29
foxcarolina.com,79,0,2,0.540,0.0000000000,0.0253164557,0,0.270,72,22.22
forums.gopherhole.com,79,0,1,0.518,0.0000000000,0.0126582278,0,0.518,58,10.34
breakingdawnmovie.org,79,0,1,0.435,0.0000000000,0.0126582278,0,0.435,65,13.85
gtdaily.com,79,0,1,0.341,0.0000000000,0.0126582278,0,0.341,93,11.83
siliconera.com,79,0,1,0.317,0.0000000000,0.0126582278,0,0.317,59,22.03
smartmompicks.com,79,0,1,0.199,0.0000000000,0.0126582278,0,0.199,101,6.93
new33039.undertonebrandsafe.com,79,0,1,0.182,0.0000000000,0.0126582278,0,0.182,65,24.62
r1.ace.advertising.com,79,0,1,0.102,0.0000000000,0.0126582278,0,0.102,62,14.52
ads.mmatraining.com,79,0,1,0.089,0.0000000000,0.0126582278,0,0.089,63,12.7
14435.rubicon,79,0,0,0.203,0.0000000000,0.0000000000,0,0,98,54.08
new38655.undertonebrandsafe.com,783,0,2,1.617,0.0000000000,0.0025542784,0,0.809,878,24.6
preview.a.gs-cdn.net,780,0,14,1.965,0.0000000000,0.0179487179,0,0.140,800,32.38
abc15.com,78,0,2,0.358,0.0000000000,0.0256410256,0,0.179,69,4.35
myfoxatlanta.com,78,0,2,0.170,0.0000000000,0.0256410256,0,0.085,60,15.0
wrex.com,78,0,1,0.515,0.0000000000,0.0128205128,0,0.515,64,37.5
ktvq.com,78,0,1,0.394,0.0000000000,0.0128205128,0,0.394,65,49.23
thedp.com,78,0,1,0.356,0.0000000000,0.0128205128,0,0.356,44,59.09
mnfootballhub.com,78,0,1,0.287,0.0000000000,0.0128205128,0,0.287,37,10.81
syracuse.com,78,0,1,0.222,0.0000000000,0.0128205128,0,0.222,56,42.86
state-journal.com,78,0,0,0.444,0.0000000000,0.0000000000,0,0,72,36.11
fbpagesites.com,78,0,0,0.302,0.0000000000,0.0000000000,0,0,50,26.0
blisstree.com,78,0,0,0.188,0.0000000000,0.0000000000,0,0,56,37.5
forkparty.com,78,0,0,0.104,0.0000000000,0.0000000000,0,0,65,29.23
ebay.com,7780,0,80,36.434,0.0000000000,0.0102827763,0,0.455,7828,15.66
earthlink.net,775,0,5,5.736,0.0000000000,0.0064516129,0,1.147,669,24.96
theoaklandpress.com,77,0,2,0.428,0.0000000000,0.0259740260,0,0.214,56,16.07
egmnow.com,77,0,1,0.406,0.0000000000,0.0129870130,0,0.406,67,20.9
